partner_iso,period,trade_value_m_usd,net_mass_mt,log_density,partner_id,period_id,treated,post,treat_post
CHN,202301,280.14,7706.36,10.2223,0,0,0,0,0
CHN,202302,209.32,5767.56,10.2239,0,1,0,0,0
CHN,202303,137.49,3805.95,10.2286,0,2,0,0,0
CHN,202304,159.33,4567.09,10.2634,0,3,0,0,0
CHN,202305,202.47,5571.53,10.2226,0,4,0,0,0
CHN,202306,233.8,6463.64,10.2273,0,5,0,0,0
CHN,202307,253.64,6188.98,10.1024,0,6,0,0,0
CHN,202308,276.5,6577.44,10.077,0,7,0,0,0
CHN,202309,257.02,6143.81,10.0818,0,8,0,0,0
CHN,202310,223.88,5536.38,10.1158,0,9,0,0,0
CHN,202311,184.08,4534.81,10.112,0,10,0,0,0
CHN,202312,183.83,4440.0,10.0922,0,11,0,0,0
CHN,202401,235.11,5694.95,10.0951,0,12,0,0,0
CHN,202402,190.47,4617.63,10.0959,0,13,0,0,0
CHN,202403,160.1,3890.9,10.0984,0,14,0,0,0
CHN,202404,145.09,3493.87,10.0892,0,15,0,0,0
CHN,202405,173.15,4195.26,10.0953,0,16,0,0,0
CHN,202406,190.95,4575.97,10.0844,0,17,0,0,0
CHN,202407,282.58,6470.07,10.0388,0,18,0,0,0
CHN,202408,276.12,6239.34,10.0256,0,19,0,0,0
CHN,202409,257.47,5928.78,10.0445,0,20,0,0,0
CHN,202410,199.5,4634.8,10.0533,0,21,0,0,0
CHN,202411,166.07,3962.34,10.08,0,22,0,0,0
CHN,202412,192.06,4486.26,10.0588,0,23,0,0,0
CHN,202501,199.1,4686.34,10.0664,0,24,0,0,0
CHN,202502,206.52,4710.61,10.035,0,25,0,0,0
CHN,202503,141.09,3205.36,10.031,0,26,0,0,0
CHN,202504,144.32,3438.65,10.0786,0,27,0,1,0
CHN,202505,105.3,2410.6,10.0386,0,28,0,1,0
CHN,202506,135.43,3097.27,10.0376,0,29,0,1,0
CHN,202507,182.25,4090.92,10.0189,0,30,0,1,0
CHN,202508,148.03,3470.99,10.0626,0,31,0,1,0
CHN,202509,107.69,2514.29,10.0583,0,32,0,1,0
CHN,202510,95.7,2227.05,10.055,0,33,0,1,0
CHN,202511,68.51,1598.22,10.0575,0,34,0,1,0
CHN,202512,78.55,1823.67,10.0527,0,35,0,1,0
DEU,202301,21.43,545.52,10.1447,1,0,0,0,0
DEU,202302,18.93,484.22,10.1496,1,1,0,0,0
DEU,202303,28.39,724.69,10.1475,1,2,0,0,0
DEU,202304,16.39,419.71,10.1507,1,3,0,0,0
DEU,202305,26.37,671.33,10.1448,1,4,0,0,0
DEU,202306,18.28,465.11,10.1443,1,5,0,0,0
DEU,202307,19.18,438.55,10.0374,1,6,0,0,0
DEU,202308,15.49,356.28,10.0433,1,7,0,0,0
DEU,202309,11.31,260.08,10.0431,1,8,0,0,0
DEU,202310,24.7,567.85,10.0429,1,9,0,0,0
DEU,202311,21.61,500.15,10.0496,1,10,0,0,0
DEU,202312,26.9,598.1,10.0094,1,11,0,0,0
DEU,202401,23.69,525.79,10.0076,1,12,0,0,0
DEU,202402,19.63,435.22,10.0066,1,13,0,0,0
DEU,202403,19.81,439.09,10.0063,1,14,0,0,0
DEU,202404,17.68,389.48,10.0002,1,15,0,0,0
DEU,202405,15.16,335.78,10.0056,1,16,0,0,0
DEU,202406,15.97,354.28,10.0072,1,17,0,0,0
DEU,202407,22.71,495.49,9.9905,1,18,0,0,0
DEU,202408,16.22,354.68,9.9928,1,19,0,0,0
DEU,202409,13.91,301.12,9.9827,1,20,0,0,0
DEU,202410,19.75,430.72,9.9901,1,21,0,0,0
DEU,202411,22.12,484.22,9.9939,1,22,0,0,0
DEU,202412,25.73,562.86,9.9932,1,23,0,0,0
DEU,202501,27.6,602.95,9.9918,1,24,0,0,0
DEU,202502,23.92,522.24,9.9912,1,25,0,0,0
DEU,202503,26.19,571.56,9.9908,1,26,0,0,0
DEU,202504,21.93,480.31,9.9944,1,27,0,1,0
DEU,202505,21.06,460.67,9.9931,1,28,0,1,0
DEU,202506,26.38,573.16,9.9864,1,29,0,1,0
DEU,202507,20.48,446.61,9.99,1,30,0,1,0
DEU,202508,22.22,492.5,10.0063,1,31,0,1,0
DEU,202509,26.41,590.94,10.0158,1,32,0,1,0
DEU,202510,24.77,550.74,10.0094,1,33,0,1,0
DEU,202511,33.43,749.61,10.0179,1,34,0,1,0
DEU,202512,29.56,661.48,10.0159,1,35,0,1,0
IND,202301,48.43,1240.96,10.1513,2,0,0,0,0
IND,202302,36.53,945.32,10.1612,2,1,0,0,0
IND,202303,35.09,894.46,10.1461,2,2,0,0,0
IND,202304,28.68,744.21,10.1639,2,3,0,0,0
IND,202305,26.06,673.44,10.1598,2,4,0,0,0
IND,202306,28.64,727.49,10.1426,2,5,0,0,0
IND,202307,38.48,873.7,10.0304,2,6,0,0,0
IND,202308,38.74,873.58,10.0235,2,7,0,0,0
IND,202309,30.35,681.05,10.0186,2,8,0,0,0
IND,202310,29.15,653.76,10.0181,2,9,0,0,0
IND,202311,25.5,578.21,10.0291,2,10,0,0,0
IND,202312,25.7,560.46,9.9901,2,11,0,0,0
IND,202401,23.32,511.38,9.9956,2,12,0,0,0
IND,202402,27.32,603.11,10.0023,2,13,0,0,0
IND,202403,29.52,646.8,9.9948,2,14,0,0,0
IND,202404,25.95,562.06,9.9832,2,15,0,0,0
IND,202405,30.2,670.91,10.0086,2,16,0,0,0
IND,202406,28.96,636.72,9.9982,2,17,0,0,0
IND,202407,34.38,734.23,9.9691,2,18,0,0,0
IND,202408,32.4,691.16,9.968,2,19,0,0,0
IND,202409,38.75,816.44,9.9556,2,20,0,0,0
IND,202410,35.25,748.72,9.9637,2,21,0,0,0
IND,202411,32.06,687.75,9.9736,2,22,0,0,0
IND,202412,27.28,579.16,9.9632,2,23,0,0,0
IND,202501,30.51,652.38,9.9704,2,24,0,0,0
IND,202502,29.83,637.47,9.9698,2,25,0,0,0
IND,202503,30.04,643.41,9.9721,2,26,0,0,0
IND,202504,34.46,734.64,9.9674,2,27,0,1,0
IND,202505,28.43,598.57,9.9549,2,28,0,1,0
IND,202506,32.2,690.18,9.9728,2,29,0,1,0
IND,202507,37.59,806.42,9.9737,2,30,0,1,0
IND,202508,44.77,990.93,10.0049,2,31,0,1,0
IND,202509,40.91,912.02,10.0121,2,32,0,1,0
IND,202510,33.68,750.44,10.0116,2,33,0,1,0
IND,202511,24.8,556.04,10.0178,2,34,0,1,0
IND,202512,21.59,479.68,10.0087,2,35,0,1,0
JPN,202301,0.15,3.24,9.9805,3,0,0,0,0
JPN,202302,0.16,3.54,10.0045,3,1,0,0,0
JPN,202303,0.23,5.63,10.1056,3,2,0,0,0
JPN,202304,0.08,1.62,9.916,3,3,0,0,0
JPN,202305,0.07,1.44,9.9317,3,4,0,0,0
