partner_iso,partner_id,period,period_id,post,treated,treat_post,trade_value_m_usd,trade_value_usd,net_mass_kg,log_value
CHN,1,202301,1,0,0,0,429.2275,429227543.0,41885535.314,6.061987081397359
CHN,1,202302,2,0,0,0,367.5249,367524929.0,36840981.602,5.906791071459659
CHN,1,202303,3,0,0,0,336.132,336132047.0,34200998.13,5.8175039399578985
CHN,1,202304,4,0,0,0,472.655,472654958.0,48382159.26,6.1583657354677195
CHN,1,202305,5,0,0,0,501.5005,501500524.0,49413087.93,6.217604604410466
CHN,1,202306,6,0,0,0,504.1468,504146793.0,51246048.608,6.222867495501814
CHN,1,202307,7,0,0,0,541.1003,541100299.0,48569324.171,6.293604659074704
CHN,1,202308,8,0,0,0,684.8052,684805215.0,58717968.306,6.529134418256646
CHN,1,202309,9,0,0,0,751.3441,751344086.0,64610753.901,6.6218637359087955
CHN,1,202310,10,0,0,0,700.9189,700918923.0,61363257.684,6.552392188473011
CHN,1,202311,11,0,0,0,590.9777,590977705.0,51472234.772,6.381778284037689
CHN,1,202312,12,0,0,0,530.8192,530819227.0,49318667.841,6.274421473619995
CHN,1,202401,13,0,0,0,528.1533,528153339.0,47087294.387,6.269386582474587
CHN,1,202402,14,0,0,0,486.4241,486424133.0,43247493.516,6.187080877121879
CHN,1,202403,15,0,0,0,397.792,397792004.0,37405047.237,5.985929255609305
CHN,1,202404,16,0,0,0,450.8579,450857921.0,41346602.998,6.111152212249979
CHN,1,202405,17,0,0,0,517.2536,517253625.0,47249898.44,6.248533276485435
CHN,1,202406,18,0,0,0,536.2081,536208079.0,48752649.26,6.284522331991377
CHN,1,202407,19,0,0,0,645.5189,645518863.0,61007653.238,6.470054489486253
CHN,1,202408,20,0,0,0,689.4803,689480334.0,65435170.392,6.535938125396614
CHN,1,202409,21,0,0,0,808.4461,808446071.0,75472369.372,6.695114010128174
CHN,1,202410,22,0,0,0,709.33,709330016.0,67162252.294,6.564320862534264
CHN,1,202411,23,0,0,0,657.8255,657825457.0,64035400.396,6.488939698585835
CHN,1,202412,24,0,0,0,574.7742,574774206.0,57967603.886,6.353977268020047
CHN,1,202501,25,0,0,0,570.1474,570147381.0,55898071.094,6.345894923889515
CHN,1,202502,26,0,0,0,488.5058,488505791.0,49504388.931,6.191351344493213
CHN,1,202503,27,0,0,0,422.9844,422984379.0,47017279.651,6.047335298933591
CHN,1,202504,28,1,0,0,428.153,428153008.0,46072587.228,6.059480608337761
CHN,1,202505,29,1,0,0,271.2014,271201440.0,29867250.422,5.602861718294804
CHN,1,202506,30,1,0,0,271.629,271629000.0,28827396.405,5.604437164653162
CHN,1,202507,31,1,0,0,479.5157,479515676.0,48251571.648,6.172776636227512
CHN,1,202508,32,1,0,0,474.0442,474044196.0,48497612.556,6.1613005662928115
CHN,1,202509,33,1,0,0,411.6865,411686534.0,41433626.002,6.02026213737109
CHN,1,202510,34,1,0,0,451.0307,451030698.0,44690892.223,6.111535408139393
CHN,1,202511,35,1,0,0,389.9408,389940843.0,39124926.971,5.96599493272989
CHN,1,202512,36,1,0,0,348.5377,348537685.0,36285415.695,5.853746402255079
DEU,2,202301,1,0,0,0,16.7101,16710062.0,1601590.657,2.8160133270298506
DEU,2,202302,2,0,0,0,13.7712,13771176.0,1267661.521,2.622579454913073
DEU,2,202303,3,0,0,0,21.0284,21028415.0,1921329.394,3.0458739050323205
DEU,2,202304,4,0,0,0,17.1823,17182287.0,1582593.875,2.8438797841961354
DEU,2,202305,5,0,0,0,17.0745,17074497.0,1412930.091,2.837586122451244
DEU,2,202306,6,0,0,0,17.607,17607023.0,1382624.652,2.868296550244307
DEU,2,202307,7,0,0,0,15.4201,15420142.0,1140961.399,2.7356718531984616
DEU,2,202308,8,0,0,0,15.0982,15098165.0,1055310.77,2.714575531417349
DEU,2,202309,9,0,0,0,13.7352,13735207.0,900741.467,2.619961880780865
DEU,2,202310,10,0,0,0,15.6304,15630407.0,1014764.377,2.749217735916541
DEU,2,202311,11,0,0,0,12.4923,12492284.0,860108.049,2.5251124545023043
DEU,2,202312,12,0,0,0,11.3128,11312795.0,794231.915,2.4259348280114295
DEU,2,202401,13,0,0,0,8.4746,8474595.0,566277.762,2.1370734545125525
DEU,2,202402,14,0,0,0,12.1686,12168635.0,894510.936,2.4988588634060043
DEU,2,202403,15,0,0,0,13.1833,13183320.0,878220.457,2.57895087709735
DEU,2,202404,16,0,0,0,12.34,12339953.0,895443.956,2.5128460184772416
DEU,2,202405,17,0,0,0,11.3379,11337881.0,777920.731,2.4281510959655273
DEU,2,202406,18,0,0,0,12.0931,12093090.0,759446.55,2.49263504201562
DEU,2,202407,19,0,0,0,14.6842,14684216.0,1010362.331,2.6867720858087902
DEU,2,202408,20,0,0,0,14.7513,14751314.0,972717.853,2.691331214495336
DEU,2,202409,21,0,0,0,12.958,12958022.0,929764.119,2.5617133580277653
DEU,2,202410,22,0,0,0,9.9343,9934253.0,677754.165,2.295993415544651
DEU,2,202411,23,0,0,0,12.7886,12788569.0,882074.418,2.5485541490834835
DEU,2,202412,24,0,0,0,11.6193,11619331.0,836765.575,2.45266750864535
DEU,2,202501,25,0,0,0,9.2266,9226591.0,716357.184,2.2220906166217294
DEU,2,202502,26,0,0,0,11.2044,11204368.0,840386.085,2.4163065582957435
DEU,2,202503,27,0,0,0,18.9903,18990292.0,1589412.109,2.9439283224877206
DEU,2,202504,28,1,0,0,16.5421,16542052.0,1293554.734,2.8059086464696747
DEU,2,202505,29,1,0,0,15.4755,15475481.0,1131652.245,2.7392581282264032
DEU,2,202506,30,1,0,0,16.4724,16472358.0,1285299.012,2.801686253063477
DEU,2,202507,31,1,0,0,14.5818,14581753.0,1126067.649,2.679774175750473
DEU,2,202508,32,1,0,0,14.6096,14609558.0,1068935.249,2.681678846879939
DEU,2,202509,33,1,0,0,16.8487,16848731.0,1320994.184,2.824273502486742
DEU,2,202510,34,1,0,0,13.1781,13178082.0,997454.069,2.5785563608677537
DEU,2,202511,35,1,0,0,21.8811,21881081.0,1902247.938,3.085623250513109
DEU,2,202512,36,1,0,0,15.73,15730022.0,1359980.69,2.7555697170701863
IND,3,202301,1,0,0,0,2.1928,2192771.0,110451.261,0.7851792660064391
IND,3,202302,2,0,0,0,1.6906,1690558.0,87166.689,0.5250834955126903
IND,3,202303,3,0,0,0,1.4147,1414661.0,71855.082,0.3469174944827516
IND,3,202304,4,0,0,0,1.6411,1641138.0,67724.179,0.4953667487034451
IND,3,202305,5,0,0,0,2.0508,2050831.0,88451.882,0.7182299609274085
IND,3,202306,6,0,0,0,2.4204,2420432.0,134512.7,0.8839328157660293
IND,3,202307,7,0,0,0,1.7418,1741805.0,78402.153,0.5549190612765021
IND,3,202308,8,0,0,0,2.4605,2460463.0,99423.788,0.9003645813238959
IND,3,202309,9,0,0,0,2.7178,2717809.0,136791.876,0.99982272950426
IND,3,202310,10,0,0,0,2.2648,2264792.0,104159.51,0.8174864548155528
IND,3,202311,11,0,0,0,1.6251,1625066.0,65695.124,0.4855693523498258
IND,3,202312,12,0,0,0,2.2742,2274159.0,107090.836,0.8216283422084855
IND,3,202401,13,0,0,0,1.4465,1446477.0,66713.851,0.3691468454340527
IND,3,202402,14,0,0,0,1.6213,1621279.0,63225.247,0.4832282965738864
IND,3,202403,15,0,0,0,2.2371,2237081.0,89938.196,0.8051803842357217
IND,3,202404,16,0,0,0,1.6583,1658278.0,63679.649,0.505792981237916
IND,3,202405,17,0,0,0,1.8555,1855505.0,71739.71,0.6181542015185152
IND,3,202406,18,0,0,0,1.8872,1887196.0,72437.785,0.6350942491113282
IND,3,202407,19,0,0,0,1.8954,1895420.0,75234.765,0.6394298980539574
IND,3,202408,20,0,0,0,1.7252,1725212.0,64776.725,0.545342985791551
IND,3,202409,21,0,0,0,2.227,2227032.0,108742.632,0.8006553882752305
IND,3,202410,22,0,0,0,2.8149,2814890.0,136819.57,1.0349267369819768
IND,3,202411,23,0,0,0,1.5107,1510692.0,65475.858,0.41257311956754217
IND,3,202412,24,0,0,0,2.1209,2120926.0,83056.539,0.7518405268991636
IND,3,202501,25,0,0,0,1.7838,1783816.0,84544.909,0.57874592024997
IND,3,202502,26,0,0,0,1.9264,1926364.0,82013.019,0.6556529761323648
IND,3,202503,27,0,0,0,2.4967,2496713.0,94000.393,0.9149698599067393
IND,3,202504,28,1,0,0,2.5822,2582189.0,86998.672,0.9486417487584812
IND,3,202505,29,1,0,0,2.7259,2725906.0,118608.886,1.0027986488157077
IND,3,202506,30,1,0,0,2.2314,2231428.0,99381.803,0.8026291911769422
IND,3,202507,31,1,0,0,3.9584,3958366.0,160432.791,1.3758399032160318
IND,3,202508,32,1,0,0,2.4696,2469623.0,117720.178,0.9040561942058124
IND,3,202509,33,1,0,0,2.7926,2792584.0,133091.372,1.0269730615259574
IND,3,202510,34,1,0,0,3.0712,3071242.0,156808.933,1.122068364704451
IND,3,202511,35,1,0,0,3.0682,3068223.0,186075.697,1.121091070428536
IND,3,202512,36,1,0,0,2.8255,2825535.0,156922.965,1.038685340087761
JPN,4,202301,1,0,0,0,9.1992,9199243.0,455726.66,2.219116523752318
JPN,4,202302,2,0,0,0,7.9504,7950430.0,341083.571,2.073222241865919
JPN,4,202303,3,0,0,0,11.2703,11270311.0,652804.081,2.422170947040786
JPN,4,202304,4,0,0,0,10.8254,10825355.0,604352.483,2.3818952247070184
JPN,4,202305,5,0,0,0,6.0157,6015657.0,360020.193,1.7943727183828608
JPN,4,202306,6,0,0,0,7.5309,7530902.0,449762.792,2.019014556581978
JPN,4,202307,7,0,0,0,8.5631,8563090.0,468435.897,2.147462274126047
JPN,4,202308,8,0,0,0,9.9085,9908490.0,451218.441,2.2933929746251307
JPN,4,202309,9,0,0,0,10.8696,10869575.0,600052.343,2.385969901927977
JPN,4,202310,10,0,0,0,10.1437,10143699.0,538119.861,2.3168528231250547
JPN,4,202311,11,0,0,0,9.7979,9797905.0,520311.47,2.2821680769997763
JPN,4,202312,12,0,0,0,8.4064,8406416.0,462287.354,2.1289933205090836
JPN,4,202401,13,0,0,0,8.0667,8066687.0,416358.985,2.0877444767173983
JPN,4,202402,14,0,0,0,7.1049,7104916.0,341939.93,1.9607846868546606
JPN,4,202403,15,0,0,0,8.0396,8039621.0,421813.3,2.0843793307094596
JPN,4,202404,16,0,0,0,9.1774,9177399.0,446679.955,2.2167439401159226
JPN,4,202405,17,0,0,0,8.0271,8027056.0,416003.964,2.0828233170262442
JPN,4,202406,18,0,0,0,9.3751,9375087.0,505459.385,2.2380572384662525
JPN,4,202407,19,0,0,0,8.9224,8922449.0,489659.74,2.18856496869819
JPN,4,202408,20,0,0,0,8.4251,8425057.0,464652.739,2.1312153456041862
JPN,4,202409,21,0,0,0,8.6958,8695819.0,481319.535,2.1628401504743886
JPN,4,202410,22,0,0,0,11.6567,11656710.0,674440.103,2.455881121997024
JPN,4,202411,23,0,0,0,8.731,8731036.0,544272.165,2.1668799108286705
JPN,4,202412,24,0,0,0,10.3955,10395465.0,627820.564,2.341373020201306
JPN,4,202501,25,0,0,0,8.257,8256990.0,427984.483,2.1110613254352915
JPN,4,202502,26,0,0,0,6.325,6325029.0,340485.108,1.8445100346135839
JPN,4,202503,27,0,0,0,9.0008,9000840.0,465604.041,2.197313462274725
JPN,4,202504,28,1,0,0,10.4485,10448529.0,555756.909,2.346458427438016
JPN,4,202505,29,1,0,0,9.1444,9144414.0,481133.367,2.213141670067679
JPN,4,202506,30,1,0,0,9.6972,9697179.0,486990.905,2.2718371840452654
JPN,4,202507,31,1,0,0,10.0761,10076124.0,536897.137,2.310166283014359
JPN,4,202508,32,1,0,0,8.7795,8779513.0,511674.995,2.1724194584172483
JPN,4,202509,33,1,0,0,7.8071,7807072.0,338296.91,2.0550335760736673
JPN,4,202510,34,1,0,0,12.9219,12921862.0,824254.439,2.5589235463658966
JPN,4,202511,35,1,0,0,10.3254,10325425.0,644769.211,2.3346068790167833
JPN,4,202512,36,1,0,0,9.497,9497001.0,479882.031,2.2509759592608156
KOR,5,202301,1,0,0,0,17.7543,17754334.0,1730105.784,2.8766277401039053
KOR,5,202302,2,0,0,0,15.0334,15033381.0,1476346.963,2.710274392420491
KOR,5,202303,3,0,0,0,24.5721,24572126.0,2500331.759,3.201611652966198
KOR,5,202304,4,0,0,0,26.6992,26699197.0,2721448.095,3.2846336024105014
KOR,5,202305,5,0,0,0,25.0469,25046944.0,2590485.66,3.220750067377892
KOR,5,202306,6,0,0,0,23.1989,23198928.0,2398871.376,3.1441048637550915
KOR,5,202307,7,0,0,0,23.7979,23797941.0,2252339.331,3.169597341490349
KOR,5,202308,8,0,0,0,19.2591,19259088.0,1767132.229,2.9579836763061844
KOR,5,202309,9,0,0,0,19.6052,19605218.0,1775679.737,2.975794837171475
KOR,5,202310,10,0,0,0,20.3611,20361097.0,1761909.598,3.0136262177278006
KOR,5,202311,11,0,0,0,26.5213,26521286.0,2414216.156,3.2779481837240834
KOR,5,202312,12,0,0,0,17.5487,17548723.0,1503042.349,2.864979873094181
KOR,5,202401,13,0,0,0,22.23,22229999.0,2010333.291,3.101442727976105
KOR,5,202402,14,0,0,0,20.9789,20978926.0,1891153.001,3.0435171707070454
KOR,5,202403,15,0,0,0,38.8559,38855853.0,3388528.117,3.659859931435026
KOR,5,202404,16,0,0,0,29.7611,29761110.0,2789685.032,3.393202171647391
KOR,5,202405,17,0,0,0,26.0099,26009856.0,2429205.335,3.258477234778044
