partner_iso,partner_name,partner_id,period,period_id,year,month,cmd_code,post,treated,treat_post,trade_value_m_usd,trade_value_usd,net_mass_kg,net_mass_mt,unit_value_usd_per_kg,density_kg_per_m_usd,log_value,log_density
CHN,China,1,202301,1,2023,1,8517,0,0,0,6036.7384,6036738407.0,10753483.225,10753.4832,561.3752,1781.3399,8.705619145076351,7.485121112918823
CHN,China,1,202302,2,2023,2,8517,0,0,0,3385.2022,3385202238.0,11978095.776,11978.0958,282.6161,3538.3694,8.127168917683486,8.171421278540237
CHN,China,1,202303,3,2023,3,8517,0,0,0,3267.2828,3267282788.0,8217255.627,8217.2556,397.6124,2515.0121,8.091713970450398,7.830032893655467
CHN,China,1,202304,4,2023,4,8517,0,0,0,3691.5938,3691593833.0,9361019.427,9361.0194,394.3581,2535.7664,8.213813567901443,7.838251197749733
CHN,China,1,202305,5,2023,5,8517,0,0,0,3694.691,3694691035.0,9031645.762,9031.6458,409.0828,2444.4929,8.214652203363082,7.801592977535039
CHN,China,1,202306,6,2023,6,8517,0,0,0,3301.53,3301530046.0,6871764.883,6871.7649,480.4486,2081.388,8.102141276372079,7.640790257836894
CHN,China,1,202307,7,2023,7,8517,0,0,0,3670.3379,3670337936.0,6939567.95,6939.568,528.9001,1890.7164,8.208039007655042,7.544711083852335
CHN,China,1,202308,8,2023,8,8517,0,0,0,3050.324,3050323983.0,6609792.833,6609.7928,461.4856,2166.915,8.023003093467699,7.681059776032392
CHN,China,1,202309,9,2023,9,8517,0,0,0,6717.2921,6717292070.0,9901980.606,9901.9806,678.3786,1474.103,8.812440390996946,7.295804948191247
CHN,China,1,202310,10,2023,10,8517,0,0,0,7259.4066,7259406591.0,10326338.989,10326.339,702.9991,1422.477,8.890053368941121,7.260154997152723
CHN,China,1,202311,11,2023,11,8517,0,0,0,6046.9645,6046964516.0,8810383.781,8810.3838,686.3452,1456.9928,8.707311689576304,7.284129864522048
CHN,China,1,202312,12,2023,12,8517,0,0,0,5095.3856,5095385629.0,7536183.025,7536.183,676.1229,1479.0211,8.536090624834301,7.29913572900525
CHN,China,1,202401,13,2024,1,8517,0,0,0,4036.9625,4036962536.0,6753953.144,6753.9531,597.7185,1673.0285,8.303247831733751,7.422390736107714
