partner_iso,period,trade_value_m_usd,net_mass_mt,log_density,partner_id,period_id,treated,post,treat_post
CHN,202301,634.3,136815.83,12.2816,0,0,0,0,0
CHN,202302,530.05,112684.41,12.2671,0,1,0,0,0
CHN,202303,421.19,90586.58,12.2787,0,2,0,0,0
CHN,202304,547.45,120464.62,12.3016,0,3,0,0,0
CHN,202305,559.93,121798.9,12.2901,0,4,0,0,0
CHN,202306,520.08,116145.57,12.3164,0,5,0,0,0
CHN,202307,526.99,114646.29,12.2902,0,6,0,0,0
CHN,202308,506.73,110693.91,12.2943,0,7,0,0,0
CHN,202309,486.53,105521.56,12.2871,0,8,0,0,0
CHN,202310,549.01,120353.61,12.2978,0,9,0,0,0
CHN,202311,530.74,114189.85,12.2791,0,10,0,0,0
CHN,202312,589.68,126421.19,12.2756,0,11,0,0,0
CHN,202401,658.75,142696.24,12.2859,0,12,0,0,0
CHN,202402,593.05,125518.81,12.2627,0,13,0,0,0
CHN,202403,492.86,103544.99,12.2553,0,14,0,0,0
CHN,202404,501.21,106109.23,12.263,0,15,0,0,0
CHN,202405,575.54,122493.53,12.2683,0,16,0,0,0
CHN,202406,572.51,121864.2,12.2684,0,17,0,0,0
CHN,202407,605.12,138870.74,12.3436,0,18,0,0,0
CHN,202408,542.95,123833.87,12.3374,0,19,0,0,0
CHN,202409,507.64,117236.24,12.3499,0,20,0,0,0
CHN,202410,485.82,112069.29,12.3488,0,21,0,0,0
CHN,202411,492.58,112735.71,12.3409,0,22,0,0,0
CHN,202412,571.05,133225.54,12.3601,0,23,0,0,0
CHN,202501,619.37,146906.88,12.3766,0,24,0,0,0
CHN,202502,532.82,121235.83,12.3351,0,25,0,0,0
CHN,202503,472.15,109662.83,12.3556,0,26,0,0,0
CHN,202504,445.88,104888.92,12.3684,0,27,0,1,0
CHN,202505,356.88,82094.77,12.346,0,28,0,1,0
CHN,202506,278.19,66440.91,12.3835,0,29,0,1,0
CHN,202507,395.21,93731.72,12.3765,0,30,0,1,0
CHN,202508,355.59,88297.76,12.4225,0,31,0,1,0
CHN,202509,309.05,75451.07,12.4055,0,32,0,1,0
CHN,202510,313.24,77509.07,12.4189,0,33,0,1,0
CHN,202511,292.37,72289.12,12.4182,0,34,0,1,0
CHN,202512,345.75,85839.09,12.4223,0,35,0,1,0
DEU,202301,28.1,6062.65,12.2819,1,0,0,0,0
DEU,202302,20.12,4429.63,12.3021,1,1,0,0,0
DEU,202303,23.17,5068.26,12.2957,1,2,0,0,0
DEU,202304,25.16,5368.21,12.2708,1,3,0,0,0
DEU,202305,31.86,6673.91,12.2524,1,4,0,0,0
DEU,202306,28.71,6248.23,12.2906,1,5,0,0,0
DEU,202307,31.65,6983.23,12.3043,1,6,0,0,0
DEU,202308,30.92,6507.57,12.2571,1,7,0,0,0
DEU,202309,25.68,5591.41,12.291,1,8,0,0,0
DEU,202310,26.41,5721.88,12.2861,1,9,0,0,0
DEU,202311,25.0,5114.96,12.2288,1,10,0,0,0
DEU,202312,25.23,5087.3,12.2142,1,11,0,0,0
DEU,202401,21.73,4589.84,12.2607,1,12,0,0,0
DEU,202402,20.72,4379.75,12.2614,1,13,0,0,0
DEU,202403,24.04,4997.0,12.2446,1,14,0,0,0
DEU,202404,22.54,4471.72,12.198,1,15,0,0,0
DEU,202405,22.68,4357.1,12.1658,1,16,0,0,0
DEU,202406,25.4,5070.38,12.2042,1,17,0,0,0
DEU,202407,34.27,7079.91,12.2385,1,18,0,0,0
DEU,202408,29.0,6183.92,12.2702,1,19,0,0,0
DEU,202409,23.33,4954.04,12.266,1,20,0,0,0
DEU,202410,23.11,4975.66,12.2798,1,21,0,0,0
DEU,202411,20.79,4333.43,12.2474,1,22,0,0,0
DEU,202412,25.18,5355.27,12.2675,1,23,0,0,0
DEU,202501,18.44,4004.17,12.2883,1,24,0,0,0
DEU,202502,18.68,4098.24,12.2986,1,25,0,0,0
DEU,202503,24.98,5146.52,12.2358,1,26,0,0,0
DEU,202504,26.28,5513.89,12.254,1,27,0,1,0
DEU,202505,31.04,6368.69,12.2316,1,28,0,1,0
DEU,202506,33.13,7079.25,12.2722,1,29,0,1,0
DEU,202507,29.23,6255.89,12.2738,1,30,0,1,0
DEU,202508,22.65,5038.72,12.3125,1,31,0,1,0
DEU,202509,22.15,4740.86,12.2739,1,32,0,1,0
DEU,202510,22.26,4726.98,12.266,1,33,0,1,0
DEU,202511,20.46,4128.43,12.2149,1,34,0,1,0
DEU,202512,23.85,5194.45,12.2913,1,35,0,1,0
IND,202301,62.33,14065.2,12.3268,2,0,0,0,0
IND,202302,50.26,11306.68,12.3237,2,1,0,0,0
IND,202303,54.57,12414.45,12.3349,2,2,0,0,0
IND,202304,55.3,12633.69,12.3391,2,3,0,0,0
IND,202305,55.65,12579.28,12.3285,2,4,0,0,0
IND,202306,53.01,12168.82,12.3439,2,5,0,0,0
IND,202307,61.11,14094.47,12.3486,2,6,0,0,0
IND,202308,63.3,14157.59,12.3179,2,7,0,0,0
IND,202309,62.8,13957.8,12.3116,2,8,0,0,0
IND,202310,56.46,12580.33,12.3141,2,9,0,0,0
IND,202311,53.79,12028.46,12.3177,2,10,0,0,0
IND,202312,56.21,12470.58,12.3098,2,11,0,0,0
IND,202401,46.34,10405.57,12.3219,2,12,0,0,0
IND,202402,47.8,10640.37,12.3131,2,13,0,0,0
IND,202403,62.77,13972.48,12.3131,2,14,0,0,0
IND,202404,63.26,14016.96,12.3085,2,15,0,0,0
IND,202405,58.95,13229.59,12.3213,2,16,0,0,0
IND,202406,54.25,12032.48,12.3095,2,17,0,0,0
